key,value
home.subtitle,Digital Rozgar Manch
home.title,SINDH
home.tagline,Connecting local workers and employers on a simple, modern platform.
home.ctaPrimary,Find Jobs
home.ctaPrimaryEmployer,Posted Jobs
home.ctaPrimaryWorker,Find Work
home.ctaSecondary,Post Job
home.ctaSecondaryEmployer,Post New Job
home.ctaSecondaryOther,Hire Workers
home.employer.hero.title,Post a new job
home.employer.hero.body,Reach local workers quickly and track applications in one place.
home.employer.hero.button,New Job Post
home.worker.hero.title,Find work near you
home.worker.hero.body,Apply to verified jobs and track your progress easily.
home.worker.hero.button,Browse Jobs
home.stats.active,Active Jobs
home.stats.completed,Completed
home.stats.wallet,Wallet
home.stats.trust,Trust
home.stats.in,in
home.stats.available,Available
home.stats.allTime,All time
menu.profile,Profile
menu.jobs,Jobs
menu.logout,Logout















