key,value
home.subtitle,डिजिटल रोज़गार मंच
home.title,सिंधु
home.tagline,स्थानीय कामगारों और नियोक्ताओं को एक सरल और आधुनिक मंच पर जोड़ना।
home.ctaPrimary,नौकरी खोजें
home.ctaPrimaryEmployer,पोस्ट की गई नौकरियाँ
home.ctaPrimaryWorker,काम खोजें
home.ctaSecondary,नौकरी पोस्ट करें
home.ctaSecondaryEmployer,नया जॉब पोस्ट करें
home.ctaSecondaryOther,कामगार भर्ती करें
home.employer.hero.title,नई नौकरी पोस्ट करें
home.employer.hero.body,स्थानीय कामगारों तक तेजी से पहुंचें और आवेदनों पर नज़र रखें।
home.employer.hero.button,नई जॉब पोस्ट
home.worker.hero.title,अपने पास काम खोजें
home.worker.hero.body,पक्की नौकरियों के लिए आवेदन करें और प्रगति आसानी से ट्रैक करें।
home.worker.hero.button,नौकरियाँ देखें
home.stats.active,सक्रिय नौकरियाँ
home.stats.completed,पूर्ण
home.stats.wallet,वॉलेट
home.stats.trust,विश्वास
home.stats.in,में
home.stats.available,उपलब्ध
home.stats.allTime,सभी समय
menu.profile,प्रोफ़ाइल
menu.jobs,नौकरियाँ
menu.logout,लॉगआउट












